Fields,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
    Other reason,"39,184","35,612","3,572",-,-,-
    Did not report,"620,887","445,109","149,107","25,783",-,887
Receiving pay for the time not working ,,,,,,
    Using paid leave,"5,573","2,533","3,040",-,-,-
"    Full pay, not taking leave","12,002","1,792","10,210",-,-,-
    Partial pay,-,-,-,-,-,-
    No pay,"293,068","157,968","90,293","19,164","25,643",-
    Did not report,"625,761","449,983","149,107","25,783",-,887
Household income ,,,,,,
"    Less than $25,000","75,420","3,700","37,245","8,832","25,643",-
"    $25,000 - $34,999","55,585","37,528","11,941","6,116",-,-
"    $35,000 - $49,999","75,839","63,422","8,056","4,361",-,-
"    $50,000 - $74,999","145,645","61,670","64,521","19,454",-,-
"    $75,000 - $99,999","76,461","46,729","23,547","6,185",-,-
"    $100,000 - $149,999","121,284","108,328","12,957",-,-,-
"    $150,000 - $199,999","111,310","66,830","44,480",-,-,-
"    $200,000 and above","210,294","189,642","20,652",-,-,-
    Did not report,"64,564","34,427","29,250",-,-,887
Health status ,,,,,,
    Excellent,"287,152","263,310","23,842",-,-,-
    Very good,"283,345","204,705","60,160","18,480",-,-
    Good,"229,211","110,265","96,177","22,769",-,-
    Fair,"66,282","20,283","41,341","3,698",959,-
    Poor,"35,065","1,544","8,837",-,"24,684",-
    Did not report,"35,350","12,169","22,294",-,-,887
"Frequency of feeling nervous, anxious, on edge ",,,,,,
    Not at all,"295,351","259,436","35,915",-,-,-
    Several days,"275,295","181,664","77,349","15,322",959,-
    More than half the days,"140,747","103,559","16,844","20,344",-,-
    Nearly every day,"189,660","55,447","100,249","9,280","24,684",-
    Did not report,"35,350","12,169","22,294",-,-,887
Frequency of not being able to stop or control worrying ,,,,,,
    Not at all,"359,547","311,703","47,844",-,-,-
    Several days,"268,735","160,122","93,291","15,322",-,-
    More than half the days,"144,230","73,185","40,461","29,625",959,-
    Nearly every day,"128,542","55,096","48,761",-,"24,684",-
    Did not report,"35,350","12,169","22,294",-,-,887
Frequency of having little interest or pleasure in doing things ,,,,,,
    Not at all,"427,265","340,091","87,174",-,-,-
    Several days,"259,026","167,379","59,001","32,646",-,-
    More than half the days,"167,056","51,831","77,281","12,301","25,643",-
    Nearly every day,"47,706","40,805","6,901",-,-,-
    Did not report,"35,350","12,169","22,294",-,-,887
"Frequency of feeling down, depressed, or hopeless ",,,,,,
    Not at all,"419,547","346,350","73,197",-,-,-
    Several days,"316,530","159,947","99,481","31,459","25,643",-
    More than half the days,"95,358","45,935","35,935","13,488",-,-
    Nearly every day,"69,619","47,875","21,744",-,-,-
    Did not report,"35,350","12,169","22,294",-,-,887
Covered by health insurance ,,,,,,
    Yes,"881,874","590,741","230,357","35,133","25,643",-
    No,"19,180","9,366",-,"9,814",-,-
    Did not report or don’t know,"35,350","12,169","22,294",-,-,887
Last month's mortgage or rent paid on time ,,,,,,
    Yes,"670,765","510,872","140,738","19,155",-,-
    No,"115,375","14,733","55,323","19,676","25,643",-
    Payment was deferred,"36,273","28,828","7,445",-,-,-
    Housing owned or payment not required,"61,043","32,014","22,913","6,116",-,-
    Did not report,"52,947","25,829","26,231",-,-,887
Confidence in paying next rent or mortgage ,,,,,,
    No confidence,"76,107","14,819","32,480","3,165","25,643",-
    Slight confidence,"59,155","20,221","11,326","27,608",-,-
    Moderate confidence,"199,673","123,086","72,226","4,361",-,-
    High confidence,"483,689","392,517","87,474","3,698",-,-
    Payment is/will be deferred,"3,789","3,789",-,-,-,-
    Did not report,"113,990","57,843","49,144","6,116",-,887
Free groceries or free meal in last 7 days ,,,,,,
    Yes,"81,853","14,190","49,364","18,298",-,-
    No,"853,664","598,085","203,287","26,649","25,643",-
    Did not report,887,-,-,-,-,887
Provider of free groceries or free meal * ,,,,,,
    School or other programs aimed at children,"77,867","10,568","49,000","18,298",-,-
    Food pantry or food bank,-,-,-,-,-,-
    Home-delivered meal service like Meals on Wheels,-,-,-,-,-,-
"    Church, synagogue, temple, mosque or other religious organization",-,-,-,-,-,-
    Shelter or soup kitchen,364,-,364,-,-,-
    Other community program,"28,583","9,738","18,845",-,-,-
"    Family, friends, or neighbors","21,769",-,"21,769",-,-,-
    Did not report,"854,551","598,085","203,287","26,649","25,643",887
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.,,,,,,
