Fields,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
    Slight confidence,"15,077","5,294","12,701","7,080",777,-
    Moderate confidence,"35,249","18,845","26,171","21,170",-,-
    High confidence,"59,793","49,117","29,307",-,-,548
    Payment is/will be deferred,"6,824","6,233","1,772",-,-,-
    Did not report,"42,179","31,793","13,034","9,586",409,"6,495"
Free groceries or free meal in last 7 days ,,,,,,
    Yes,"23,373","12,295","11,182","12,102",409,"1,298"
    No,"68,139","57,188","38,776","20,869","8,153","1,087"
    Did not report,"7,273",482,-,"3,120",-,"6,370"
Provider of free groceries or free meal ,,,,,,
    School or other programs aimed at children,"15,037","6,571","10,705","5,898",409,904
    Food pantry or food bank,"17,550","11,760","7,559","10,471",409,950
    Home-delivered meal service like Meals on Wheels,"1,930",-,-,"1,930",-,-
"    Church, synagogue, temple, mosque or other religious organization","6,683","1,302","6,488","3,456",-,950
    Shelter or soup kitchen,-,-,-,-,-,-
    Other community program,"7,330","3,556","2,344","5,354",-,950
"    Family, friends, or neighbors","7,727","2,020","6,756","4,567",-,-
    Did not report,"67,059","57,154","38,776","20,928","8,153","6,751"
