Fields,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
    Did not report,"130,447","59,839","23,977","6,261","17,693","22,676"
Health status ,,,,,,
    Excellent,"266,766","234,061","26,167","6,538",-,-
    Very good,"349,676","256,757","75,542","16,675",701,-
    Good,"127,783","88,015","32,981","3,741","3,046",-
    Fair,"58,460","36,211","7,465","14,784",-,-
    Poor,"20,628","5,946","1,793",664,"12,225",-
    Did not report,"97,236","37,604","15,754","3,508","17,693","22,676"
"Frequency of feeling nervous, anxious, on edge ",,,,,,
    Not at all,"275,592","235,903","39,372",317,-,-
    Several days,"316,118","202,578","83,577","14,435","15,528",-
    More than half the days,"102,757","79,920","8,874","13,963",-,-
    Nearly every day,"128,139","101,882","12,126","13,686",444,-
    Did not report,"97,942","38,310","15,754","3,508","17,693","22,676"
Frequency of not being able to stop or control worrying ,,,,,,
    Not at all,"390,212","317,203","71,696","1,313",-,-
    Several days,"227,576","166,616","33,186","14,848","12,926",-
    More than half the days,"120,986","75,654","34,287","11,044",-,-
    Nearly every day,"83,889","60,867","4,780","15,196","3,046",-
    Did not report,"97,885","38,253","15,754","3,508","17,693","22,676"
Frequency of having little interest or pleasure in doing things ,,,,,,
    Not at all,"401,850","359,101","40,928","1,821",-,-
    Several days,"286,147","192,464","65,429","15,328","12,926",-
    More than half the days,"88,704","45,188","33,731","9,785",-,-
    Nearly every day,"43,621","21,246","3,862","15,467","3,046",-
    Did not report,"100,227","40,595","15,754","3,508","17,693","22,676"
"Frequency of feeling down, depressed, or hopeless ",,,,,,
    Not at all,"398,790","320,169","70,388","8,232",-,-
    Several days,"282,663","210,611","55,831","15,519",701,-
    More than half the days,"100,217","65,412","13,215","9,366","12,225",-
    Nearly every day,"38,151","21,777","4,514","8,815","3,046",-
    Did not report,"100,727","40,625","15,754","3,978","17,693","22,676"
Covered by health insurance ,,,,,,
    Yes,"784,710","594,873","138,089","36,033","15,715",-
    No,"24,729","15,344","3,230","5,898",257,-
    Did not report or don’t know,"111,109","48,377","18,384","3,978","17,693","22,676"
Last month's mortgage or rent paid on time ,,,,,,
    Yes,"634,929","480,537","132,064","18,838","3,490",-
    No,"105,858","79,034","7,029","7,314","12,482",-
    Payment was deferred,"16,900","6,795",892,"9,212",-,-
    Housing owned or payment not required,"54,077","46,821","1,837","5,419",-,-
    Did not report,"108,783","45,407","17,881","5,126","17,693","22,676"
Confidence in paying next rent or mortgage ,,,,,,
    No confidence,"53,700","27,677","6,312","4,183","15,528",-
    Slight confidence,"84,832","50,209","17,088","17,091",444,-
    Moderate confidence,"126,918","89,554","29,926","7,438",-,-
    High confidence,"480,027","387,044","86,330","6,653",-,-
    Payment is/will be deferred,"12,247","11,917",330,-,-,-
    Did not report,"162,825","92,192","19,718","10,545","17,693","22,676"
Free groceries or free meal in last 7 days ,,,,,,
    Yes,"95,411","52,709","40,786","1,915",-,-
    No,"796,132","605,661","117,372","39,249","33,666",185
    Did not report,"29,005",224,"1,545","4,745",-,"22,492"
Provider of free groceries or free meal * ,,,,,,
    School or other programs aimed at children,"88,802","47,240","39,968","1,594",-,-
    Food pantry or food bank,"8,183","7,137",905,141,-,-
    Home-delivered meal service like Meals on Wheels,"1,653","1,653",-,-,-,-
"    Church, synagogue, temple, mosque or other religious organization","6,997","1,533","5,464",-,-,-
    Shelter or soup kitchen,-,-,-,-,-,-
    Other community program,"4,030","3,461",247,321,-,-
"    Family, friends, or neighbors","30,139","28,646",989,504,-,-
    Did not report,"825,773","605,988","119,449","43,995","33,666","22,676"
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.,,,,,,
