Fields,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
    Not at all,"46,392","44,816","9,315","2,591","2,675",-
    Several days,"42,658","38,833","20,723","5,528","2,290",-
    More than half the days,"24,864","12,995","9,982","16,609",596,-
    Nearly every day,"21,769","17,756","11,280","4,739","3,117",-
    Did not report,"9,934","7,738","6,829","1,645",-,"1,455"
Frequency of not being able to stop or control worrying ,,,,,,
    Not at all,"49,392","47,343","7,756","1,051","2,675",-
    Several days,"43,884","40,251","27,197","10,471","2,290",-
    More than half the days,"20,869","11,829","8,803","13,812",596,-
    Nearly every day,"18,745","14,561","11,480","4,881","3,117",-
    Did not report,"9,934","7,738","6,829","1,645",-,"1,455"
Frequency of having little interest or pleasure in doing things ,,,,,,
    Not at all,"47,366","44,623","17,261","11,702","2,675",-
    Several days,"35,794","31,973","16,283","5,076","2,299",-
    More than half the days,"23,133","13,399","12,849","12,105",-,-
    Nearly every day,"13,814","11,787","6,815","4,298","3,117",-
    Did not report,"10,637","7,915","6,829","2,539",-,"1,455"
"Frequency of feeling down, depressed, or hopeless ",,,,,,
    Not at all,"50,255","46,497","14,396","6,774","2,675",-
    Several days,"38,935","32,480","16,768","10,921","2,290",-
    More than half the days,"20,937","13,512","8,282","11,535",596,-
    Nearly every day,"15,889","9,203","11,850","5,336","3,117",-
    Did not report,"9,934","7,738","6,829","1,645",-,"1,455"
Covered by health insurance ,,,,,,
    Yes,"57,791","51,868","21,778","18,093","4,748",-
    No,"43,208","38,113","14,248","2,033",596,-
    Did not report or don’t know,"11,570","9,228","7,268","1,645",-,"1,455"
Last month's mortgage or rent paid on time ,,,,,,
    Yes,"58,083","47,882","24,628","13,771","4,752",-
    No,"12,467","7,676","8,733","7,616",-,-
    Payment was deferred,"6,146","6,114","1,013",-,-,-
    Housing owned or payment not required,"12,762","9,833","9,471","3,106",-,-
    Did not report,"12,806","8,208","7,268","9,465",-,"1,455"
Confidence in paying next rent or mortgage ,,,,,,
    No confidence,"19,960","8,420","12,007","5,354","3,117",-
    Slight confidence,"19,660","12,258","9,788","13,844","2,299",-
    Moderate confidence,"23,546","14,328","20,471","6,002","2,675",-
    High confidence,"47,968","45,569","10,047",-,-,-
    Payment is/will be deferred,"10,293","10,249","1,013","1,360",-,-
    Did not report,"19,048","12,371","12,237","10,030",-,"1,455"
Free groceries or free meal in last 7 days ,,,,,,
    Yes,"19,687","9,971","15,545","9,513","4,189",-
    No,"54,145","52,315","24,296","15,297","2,302",-
    Did not report,"2,288","1,579",674,-,-,"1,455"
Provider of free groceries or free meal ,,,,,,
    School or other programs aimed at children,"16,356","4,428","15,545","2,873","4,189",-
    Food pantry or food bank,"7,585","7,585",-,-,-,-
    Home-delivered meal service like Meals on Wheels,"6,190","6,190",-,-,-,-
"    Church, synagogue, temple, mosque or other religious organization","6,455","6,455",-,-,-,-
    Shelter or soup kitchen,-,-,-,-,-,-
    Other community program,"12,214","5,065","7,031","9,272",-,-
"    Family, friends, or neighbors","7,548","7,591",-,"1,487",-,-
    Did not report,"54,260","52,183","24,309","15,297","2,302","1,455"
