Fields,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
    Did not report,"97,885","36,580","19,283","18,523","1,007","22,492"
Frequency of having little interest or pleasure in doing things ,,,,,,
    Not at all,"401,850","328,877","71,152","1,821",-,-
    Several days,"286,147","135,410","120,554","16,571","13,396",216
    More than half the days,"88,704","37,990","40,908","9,807",-,-
    Nearly every day,"43,621","15,912","8,384","16,138","3,187",-
    Did not report,"100,227","38,922","19,283","18,523","1,007","22,492"
"Frequency of feeling down, depressed, or hopeless ",,,,,,
    Not at all,"398,790","311,798","78,679","8,313",-,-
    Several days,"282,663","129,521","135,859","16,365",701,216
    More than half the days,"100,217","60,443","18,279","9,271","12,225",-
    Nearly every day,"38,151","16,396","8,181","10,387","3,187",-
    Did not report,"100,727","38,953","19,283","18,523","1,477","22,492"
Covered by health insurance ,,,,,,
    Yes,"784,710","495,324","235,072","38,243","15,855",216
    No,"24,729","15,793","2,585","6,093",257,-
    Did not report or don’t know,"111,109","45,994","22,624","18,523","1,477","22,492"
Last month's mortgage or rent paid on time ,,,,,,
    Yes,"634,929","422,413","188,913","20,113","3,490",-
    No,"105,858","44,385","41,292","7,559","12,623",-
    Payment was deferred,"16,900","5,328","1,243","10,114",-,216
    Housing owned or payment not required,"54,077","41,654","7,020","5,403",-,-
    Did not report,"108,783","43,330","21,814","19,671","1,477","22,492"
Confidence in paying next rent or mortgage ,,,,,,
    No confidence,"53,700","2,026","31,382","4,623","15,669",-
    Slight confidence,"84,832","38,776","27,543","18,068",444,-
    Moderate confidence,"126,918","73,135","45,126","8,442",-,216
    High confidence,"480,027","346,375","126,999","6,653",-,-
    Payment is/will be deferred,"12,247","11,814",433,-,-,-
    Did not report,"162,825","84,985","28,798","25,074","1,477","22,492"
Free groceries or free meal in last 7 days ,,,,,,
    Yes,"95,411","23,678","69,606","1,986",141,-
    No,"796,132","533,392","188,891","56,184","17,449",216
    Did not report,"29,005",40,"1,784","4,689",-,"22,492"
Provider of free groceries or free meal * ,,,,,,
    School or other programs aimed at children,"88,802","19,143","68,385","1,132",141,-
    Food pantry or food bank,"8,183","3,964","3,976",102,141,-
    Home-delivered meal service like Meals on Wheels,"1,653","1,653",-,-,-,-
"    Church, synagogue, temple, mosque or other religious organization","6,997","1,130","5,867",-,-,-
    Shelter or soup kitchen,-,-,-,-,-,-
    Other community program,"4,030","3,461",247,321,-,-
"    Family, friends, or neighbors","30,139","3,736","26,208",195,-,-
    Did not report,"825,773","533,537","190,675","61,406","17,449","22,707"
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.,,,,,,
