Fields,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
    Did not report,"144,048","107,349","9,968","1,293","5,945","19,493"
Used in the last 7 days to meet spending needs* ,,,,,,
    Regular income sources like those used before the pandemic,"829,374","638,952","165,596","6,763","4,324","13,738"
    Credit cards or loans,"343,756","238,563","93,293","3,163","8,737",-
    Money from savings or selling assets,"353,146","261,970","71,433","9,337",-,"10,406"
    Borrowing from friends or family,"132,494","46,377","68,375","14,300","3,442",-
    Unemployment insurance (UI) benefit payments,"185,541","116,613","62,301","1,730","4,898",-
    Stimulus (economic impact) payment,"295,572","242,148","30,039","18,412","4,973",-
    Money saved from deferred or forgiven payments (to meet spending needs),"80,728","36,424","33,851",-,"10,452",-
    Did not report,"9,615","2,369","3,536","1,273",-,"2,436"
Health status ,,,,,,
    Excellent,"249,807","235,133","4,170","10,503",-,-
    Very good,"346,795","296,691","48,574",883,649,-
    Good,"338,736","193,056","131,442","5,422","7,635","1,182"
    Fair,"163,149","72,607","81,442","9,100",-,-
    Poor,"16,271",393,-,-,"15,879",-
    Did not report,"61,259","32,874","8,893",-,-,"19,493"
"Frequency of feeling nervous, anxious, on edge ",,,,,,
    Not at all,"287,621","230,335","57,286",-,-,-
    Several days,"459,263","368,969","82,962","6,150",-,"1,182"
    More than half the days,"171,688","58,846","101,528","7,929","3,386",-
    Nearly every day,"192,461","136,003","23,852","11,829","20,777",-
    Did not report,"64,985","36,600","8,893",-,-,"19,493"
Frequency of not being able to stop or control worrying ,,,,,,
    Not at all,"374,381","314,361","60,020",-,-,-
    Several days,"418,325","314,960","94,617","6,683",883,"1,182"
    More than half the days,"162,472","65,056","88,078","8,689",649,-
    Nearly every day,"159,582","103,502","22,913","10,536","22,631",-
    Did not report,"61,259","32,874","8,893",-,-,"19,493"
Frequency of having little interest or pleasure in doing things ,,,,,,
    Not at all,"504,120","372,000","132,120",-,-,-
    Several days,"352,700","241,692","95,023","10,711","4,090","1,182"
    More than half the days,"138,821","98,693","34,954","5,174",-,-
    Nearly every day,"119,118","85,494","3,530","10,023","20,072",-
    Did not report,"61,259","32,874","8,893",-,-,"19,493"
"Frequency of feeling down, depressed, or hopeless ",,,,,,
    Not at all,"358,152","267,934","90,219",-,-,-
    Several days,"426,693","362,397","54,260","8,854",-,"1,182"
    More than half the days,"226,182","100,300","116,614","4,296","4,973",-
    Nearly every day,"103,731","67,249","4,535","12,758","19,190",-
    Did not report,"61,259","32,874","8,893",-,-,"19,493"
Covered by health insurance ,,,,,,
    Yes,"934,358","729,276","170,356","25,908","7,635","1,182"
    No,"173,238","62,088","95,271",-,"15,879",-
    Did not report or don’t know,"68,422","39,388","8,893",-,649,"19,493"
Last month's mortgage or rent paid on time ,,,,,,
    Yes,"854,634","665,435","183,308","5,890",-,-
    No,"81,549","18,821","37,518","15,016","10,194",-
    Payment was deferred,"30,575","6,498","19,486","3,709",883,-
    Housing owned or payment not required,"139,404","102,617","25,315","1,293","8,996","1,182"
    Did not report,"69,857","37,381","8,893",-,"4,090","19,493"
Confidence in paying next rent or mortgage ,,,,,,
    No confidence,"24,246","7,019",722,"7,767","8,737",-
    Slight confidence,"107,968","23,815","68,050","15,221",883,-
    Moderate confidence,"229,154","120,807","105,264","1,627","1,456",-
    High confidence,"585,877","537,995","47,882",-,-,-
    Payment is/will be deferred,"19,513","1,118","18,395",-,-,-
    Did not report,"209,261","139,999","34,208","1,293","13,086","20,675"
Free groceries or free meal in last 7 days ,,,,,,
    Yes,"122,539","75,221","42,436","2,777","2,105",-
    No,"1,031,185","755,532","229,283","23,130","22,057","1,182"
    Did not report,"22,294",-,"2,802",-,-,"19,493"
Provider of free groceries or free meal * ,,,,,,
    School or other programs aimed at children,"72,101","27,672","41,398","1,574","1,456",-
    Food pantry or food bank,"17,371","2,968","12,550","1,204",649,-
    Home-delivered meal service like Meals on Wheels,324,-,324,-,-,-
"    Church, synagogue, temple, mosque or other religious organization","5,581","5,581",-,-,-,-
    Shelter or soup kitchen,-,-,-,-,-,-
    Other community program,"8,019","6,982","1,037",-,-,-
"    Family, friends, or neighbors","44,462","41,038",927,"2,497",-,-
    Did not report,"1,060,866","762,918","232,085","23,130","22,057","20,675"
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.,,,,,,
