Fields,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
    Did not report,"18,825","16,856","8,486","3,391",-,"6,734"
Covered by health insurance ,,,,,,
    Yes,"68,631","53,776","27,812","29,051","6,454",751
    No,"20,392","7,652","19,017","3,055",629,607
    Did not report or don’t know,"33,629","32,454","8,799","3,391","3,631","6,734"
Last month's mortgage or rent paid on time ,,,,,,
    Yes,"67,334","53,104","31,245","25,670","1,696",612
    No,"16,949","7,799","4,848","12,524","6,865",607
    Payment was deferred,"8,045","3,858","6,125","3,030",-,-
    Housing owned or payment not required,"18,195","12,292","13,525",-,"2,050",427
    Did not report,"35,211","32,427","9,732","3,439",-,"6,734"
Confidence in paying next rent or mortgage ,,,,,,
    No confidence,"14,460","3,831","2,368","13,258","4,549",607
    Slight confidence,"23,285","5,333","19,737","12,783","4,203",-
    Moderate confidence,"18,753","12,888","12,145","12,380","2,660",-
    High confidence,"65,826","52,012","20,743","20,482",582,612
    Payment is/will be deferred,"5,641","4,109","3,241","1,775",-,-
    Did not report,"40,156","34,858","17,377","3,439","2,050","6,710"
Free groceries or free meal in last 7 days ,,,,,,
    Yes,"32,112","9,802","19,665","23,702","4,219",-
    No,"71,467","59,717","28,986","19,607","5,640",903
    Did not report,"7,144","1,793",928,-,-,"6,734"
Provider of free groceries or free meal ,,,,,,
    School or other programs aimed at children,"12,144","8,352","7,722","6,213","1,267",-
    Food pantry or food bank,"20,831",-,"5,326","19,903","1,267",-
    Home-delivered meal service like Meals on Wheels,-,-,-,-,-,-
"    Church, synagogue, temple, mosque or other religious organization","5,517","1,543",-,"5,332",-,-
    Shelter or soup kitchen,-,-,-,-,-,-
    Other community program,"12,677","3,647",937,"11,662","4,203",-
"    Family, friends, or neighbors","18,263","2,493","17,895","2,398",-,-
    Did not report,"73,304","61,285","29,047","19,607","5,640","6,792"
