Fields,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
Frequency of not being able to stop or control worrying ,,,,,,
    Not at all,"336,244","245,428","88,568","2,249",-,-
    Several days,"376,635","204,702","99,628","68,247","4,058",-
    More than half the days,"77,146","44,154","22,264","10,727",-,-
    Nearly every day,"124,208","37,249","44,921","5,441","36,598",-
    Did not report,"94,537","45,222","38,072","2,586",-,"8,658"
Frequency of having little interest or pleasure in doing things ,,,,,,
    Not at all,"382,558","292,496","79,115","10,948",-,-
    Several days,"295,944","131,766","103,440","56,680","4,058",-
    More than half the days,"107,169","74,609","18,603","13,626",332,-
    Nearly every day,"128,451","32,552","54,223","5,411","36,266",-
    Did not report,"94,647","45,332","38,072","2,586",-,"8,658"
"Frequency of feeling down, depressed, or hopeless ",,,,,,
    Not at all,"324,428","238,095","72,290","14,043",-,-
    Several days,"393,808","216,617","119,548","53,585","4,058",-
    More than half the days,"66,914","48,006","13,387","5,188",332,-
    Nearly every day,"129,739","29,469","50,156","13,848","36,266",-
    Did not report,"93,883","44,567","38,072","2,586",-,"8,658"
Covered by health insurance ,,,,,,
    Yes,"873,723","520,602","234,797","77,669","40,655",-
    No,"25,625","8,524","8,106","8,995",-,-
    Did not report or don’t know,"109,422","47,629","50,549","2,586",-,"8,658"
Last month's mortgage or rent paid on time ,,,,,,
    Yes,"721,270","449,700","196,240","74,997",332,-
    No,"65,676","6,723","15,547","3,082","40,323",-
    Payment was deferred,"12,446","1,490","10,957",-,-,-
    Housing owned or payment not required,"101,296","60,953","31,758","8,585",-,-
    Did not report,"108,083","57,889","38,950","2,586",-,"8,658"
Confidence in paying next rent or mortgage ,,,,,,
    No confidence,"108,124","2,469","17,165","48,166","40,323",-
    Slight confidence,"30,065","5,787","10,875","13,070",332,-
    Moderate confidence,"111,598","23,125","73,879","14,594",-,-
    High confidence,"540,497","422,339","115,909","2,249",-,-
    Payment is/will be deferred,"9,108","4,192","4,915",-,-,-
    Did not report,"209,379","118,842","70,708","11,171",-,"8,658"
Free groceries or free meal in last 7 days ,,,,,,
    Yes,"92,751","28,780","53,610","10,361",-,-
    No,"901,551","545,997","235,785","78,889","40,655",225
    Did not report,"14,468","1,977","4,058",-,-,"8,433"
Provider of free groceries or free meal * ,,,,,,
    School or other programs aimed at children,"72,415","17,452","49,618","5,345",-,-
    Food pantry or food bank,"14,740","3,306","6,533","4,901",-,-
    Home-delivered meal service like Meals on Wheels,-,-,-,-,-,-
"    Church, synagogue, temple, mosque or other religious organization","4,003","2,527","1,476",-,-,-
    Shelter or soup kitchen,"1,921",-,-,"1,921",-,-
    Other community program,"6,918","5,714",555,650,-,-
"    Family, friends, or neighbors","22,227","8,802","8,080","5,345",-,-
    Did not report,"916,200","547,974","240,023","78,889","40,655","8,658"
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.,,,,,,
