Fields,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
"    $50,000 - $74,999","13,026","10,162","6,850","5,286",-,-
"    $75,000 - $99,999","23,934","11,633","5,505","20,886",-,-
"    $100,000 - $149,999","49,930","40,916","12,185",868,-,693
"    $150,000 - $199,999","22,104","21,665","5,199","2,004",-,-
"    $200,000 and above","18,151","16,864","3,922",-,-,-
    Did not report,"36,306","34,077","9,388","1,378",826,"6,734"
Health status ,,,,,,
    Excellent,"35,084","24,543","12,017","18,455",629,-
    Very good,"48,215","41,403","12,102","23,354","2,753",-
    Good,"37,361","30,092","14,624","17,434","2,205",-
    Fair,"12,087","11,397","3,758","3,055","1,025",-
    Poor,"9,748","3,989","9,026",-,-,693
    Did not report,"18,846","17,255","8,145","1,378",-,"6,734"
"Frequency of feeling nervous, anxious, on edge ",,,,,,
    Not at all,"44,954","40,972","6,437","13,400",-,-
    Several days,"36,103","24,021","13,331","18,589","2,254",-
    More than half the days,"31,103","27,024","7,640","10,935","2,753",-
    Nearly every day,"28,256","16,003","11,962","23,553","1,025",693
    Did not report,"18,846","17,255","8,145","1,378",-,"6,734"
Frequency of not being able to stop or control worrying ,,,,,,
    Not at all,"58,948","50,192","12,738","17,318",-,-
    Several days,"26,960","21,655","10,280","6,668","2,421",-
    More than half the days,"32,101","16,364","12,600","24,086","2,753",693
    Nearly every day,"18,025","15,220","6,236","6,353",582,-
    Did not report,"18,846","17,255","8,145","1,378",-,"6,734"
Frequency of having little interest or pleasure in doing things ,,,,,,
    Not at all,"60,194","50,543","12,879","17,318",629,-
    Several days,"37,268","26,472","14,918","22,295","2,392",-
    More than half the days,"19,279","17,782","5,449","11,828","2,753",693
    Nearly every day,"18,448","16,116","5,932","5,927",582,-
    Did not report,"21,236","17,344","8,735","1,378",-,"6,734"
"Frequency of feeling down, depressed, or hopeless ",,,,,,
    Not at all,"59,120","49,719","13,216","13,400",629,-
    Several days,"33,907","20,420","13,005","18,199","2,392",-
    More than half the days,"23,261","17,172","7,054","12,130","2,753",-
    Nearly every day,"26,873","14,404","10,040","23,699",582,693
    Did not report,"18,825","17,237","8,145","1,378",-,"6,734"
Covered by health insurance ,,,,,,
    Yes,"68,631","54,983","20,319","29,522","3,769",-
    No,"20,392","8,232","5,654","17,968",629,693
    Did not report or don’t know,"33,629","32,635","8,464","1,378",-,"6,734"
Last month's mortgage or rent paid on time ,,,,,,
    Yes,"67,334","51,526","20,092","30,021",582,693
    No,"16,949","8,885","4,386","13,613","3,790",-
    Payment was deferred,"8,045","5,036","6,152",-,-,-
    Housing owned or payment not required,"18,195","17,902","6,431","1,267",-,-
    Did not report,"35,211","32,871","9,240","1,378",-,"6,734"
Confidence in paying next rent or mortgage ,,,,,,
    No confidence,"14,460","5,323","2,593","12,475","3,030",693
    Slight confidence,"23,285","9,516","4,855","20,747",-,-
    Moderate confidence,"18,753","12,777","11,993","12,268","2,205",-
    High confidence,"65,826","53,147","16,853","21,294",582,-
    Payment is/will be deferred,"5,641","4,108","3,197","1,775",-,-
    Did not report,"40,156","37,286","11,616","1,905",-,"6,734"
Free groceries or free meal in last 7 days ,,,,,,
    Yes,"32,112","10,059","9,379","29,047",-,-
    No,"71,467","60,727","20,041","19,327","3,838",693
    Did not report,"7,144","1,793",928,-,-,"6,734"
Provider of free groceries or free meal ,,,,,,
    School or other programs aimed at children,"12,144","9,366","8,457","3,558",-,-
    Food pantry or food bank,"20,831","1,788","5,548","19,810",-,-
    Home-delivered meal service like Meals on Wheels,-,-,-,-,-,-
"    Church, synagogue, temple, mosque or other religious organization","5,517","1,126","5,457",-,-,-
    Shelter or soup kitchen,-,-,-,-,-,-
    Other community program,"12,677","2,878","2,418","12,178",-,-
"    Family, friends, or neighbors","18,263","1,516","4,679","17,988",-,-
    Did not report,"73,304","62,454","20,093","19,327","3,838","6,676"
