wk3Fields,Fields,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
"wk3    $35,000 - $49,999","    $35,000 - $49,999","31,037","15,311","4,303","8,119","3,304",-
"wk3    $50,000 - $74,999","    $50,000 - $74,999","102,063","57,088","36,524","8,450",-,-
"wk3    $75,000 - $99,999","    $75,000 - $99,999","109,236","78,375","29,910",951,-,-
"wk3    $100,000 - $149,999","    $100,000 - $149,999","188,889","143,707","37,538","7,644",-,-
"wk3    $150,000 - $199,999","    $150,000 - $199,999","64,547","52,430","12,117",-,-,-
"wk3    $200,000 and above","    $200,000 and above","213,357","198,887","7,817","6,653",-,-
wk3    Did not report,    Did not report,"130,447","59,839","23,977","6,261","17,693","22,676"
wk3Health status ,Health status ,,,,,,
wk3    Excellent,    Excellent,"266,766","234,061","26,167","6,538",-,-
wk3    Very good,    Very good,"349,676","256,757","75,542","16,675",701,-
wk3    Good,    Good,"127,783","88,015","32,981","3,741","3,046",-
wk3    Fair,    Fair,"58,460","36,211","7,465","14,784",-,-
wk3    Poor,    Poor,"20,628","5,946","1,793",664,"12,225",-
wk3    Did not report,    Did not report,"97,236","37,604","15,754","3,508","17,693","22,676"
"wk3Frequency of feeling nervous, anxious, on edge ","Frequency of feeling nervous, anxious, on edge ",,,,,,
wk3    Not at all,    Not at all,"275,592","235,903","39,372",317,-,-
wk3    Several days,    Several days,"316,118","202,578","83,577","14,435","15,528",-
wk3    More than half the days,    More than half the days,"102,757","79,920","8,874","13,963",-,-
wk3    Nearly every day,    Nearly every day,"128,139","101,882","12,126","13,686",444,-
wk3    Did not report,    Did not report,"97,942","38,310","15,754","3,508","17,693","22,676"
wk3Frequency of not being able to stop or control worrying ,Frequency of not being able to stop or control worrying ,,,,,,
wk3    Not at all,    Not at all,"390,212","317,203","71,696","1,313",-,-
wk3    Several days,    Several days,"227,576","166,616","33,186","14,848","12,926",-
wk3    More than half the days,    More than half the days,"120,986","75,654","34,287","11,044",-,-
wk3    Nearly every day,    Nearly every day,"83,889","60,867","4,780","15,196","3,046",-
wk3    Did not report,    Did not report,"97,885","38,253","15,754","3,508","17,693","22,676"
wk3Frequency of having little interest or pleasure in doing things ,Frequency of having little interest or pleasure in doing things ,,,,,,
wk3    Not at all,    Not at all,"401,850","359,101","40,928","1,821",-,-
wk3    Several days,    Several days,"286,147","192,464","65,429","15,328","12,926",-
wk3    More than half the days,    More than half the days,"88,704","45,188","33,731","9,785",-,-
wk3    Nearly every day,    Nearly every day,"43,621","21,246","3,862","15,467","3,046",-
wk3    Did not report,    Did not report,"100,227","40,595","15,754","3,508","17,693","22,676"
"wk3Frequency of feeling down, depressed, or hopeless ","Frequency of feeling down, depressed, or hopeless ",,,,,,
wk3    Not at all,    Not at all,"398,790","320,169","70,388","8,232",-,-
wk3    Several days,    Several days,"282,663","210,611","55,831","15,519",701,-
wk3    More than half the days,    More than half the days,"100,217","65,412","13,215","9,366","12,225",-
wk3    Nearly every day,    Nearly every day,"38,151","21,777","4,514","8,815","3,046",-
wk3    Did not report,    Did not report,"100,727","40,625","15,754","3,978","17,693","22,676"
wk3Covered by health insurance ,Covered by health insurance ,,,,,,
wk3    Yes,    Yes,"784,710","594,873","138,089","36,033","15,715",-
wk3    No,    No,"24,729","15,344","3,230","5,898",257,-
wk3    Did not report or don’t know,    Did not report or don’t know,"111,109","48,377","18,384","3,978","17,693","22,676"
wk3Last month's mortgage or rent paid on time ,Last month's mortgage or rent paid on time ,,,,,,
wk3    Yes,    Yes,"634,929","480,537","132,064","18,838","3,490",-
wk3    No,    No,"105,858","79,034","7,029","7,314","12,482",-
wk3    Payment was deferred,    Payment was deferred,"16,900","6,795",892,"9,212",-,-
wk3    Housing owned or payment not required,    Housing owned or payment not required,"54,077","46,821","1,837","5,419",-,-
wk3    Did not report,    Did not report,"108,783","45,407","17,881","5,126","17,693","22,676"
wk3Confidence in paying next rent or mortgage ,Confidence in paying next rent or mortgage ,,,,,,
wk3    No confidence,    No confidence,"53,700","27,677","6,312","4,183","15,528",-
wk3    Slight confidence,    Slight confidence,"84,832","50,209","17,088","17,091",444,-
wk3    Moderate confidence,    Moderate confidence,"126,918","89,554","29,926","7,438",-,-
wk3    High confidence,    High confidence,"480,027","387,044","86,330","6,653",-,-
wk3    Payment is/will be deferred,    Payment is/will be deferred,"12,247","11,917",330,-,-,-
wk3    Did not report,    Did not report,"162,825","92,192","19,718","10,545","17,693","22,676"
wk3Free groceries or free meal in last 7 days ,Free groceries or free meal in last 7 days ,,,,,,
wk3    Yes,    Yes,"95,411","52,709","40,786","1,915",-,-
wk3    No,    No,"796,132","605,661","117,372","39,249","33,666",185
wk3    Did not report,    Did not report,"29,005",224,"1,545","4,745",-,"22,492"
wk3Provider of free groceries or free meal * ,Provider of free groceries or free meal * ,,,,,,
wk3    School or other programs aimed at children,    School or other programs aimed at children,"88,802","47,240","39,968","1,594",-,-
wk3    Food pantry or food bank,    Food pantry or food bank,"8,183","7,137",905,141,-,-
wk3    Home-delivered meal service like Meals on Wheels,    Home-delivered meal service like Meals on Wheels,"1,653","1,653",-,-,-,-
"wk3    Church, synagogue, temple, mosque or other religious organization","    Church, synagogue, temple, mosque or other religious organization","6,997","1,533","5,464",-,-,-
wk3    Shelter or soup kitchen,    Shelter or soup kitchen,-,-,-,-,-,-
wk3    Other community program,    Other community program,"4,030","3,461",247,321,-,-
"wk3    Family, friends, or neighbors","    Family, friends, or neighbors","30,139","28,646",989,504,-,-
wk3    Did not report,    Did not report,"825,773","605,988","119,449","43,995","33,666","22,676"
wk3* Totals may not sum to 100% as the question allowed for multiple categories to be marked.,* Totals may not sum to 100% as the question allowed for multiple categories to be marked.,,,,,,
