,,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
wk1    Did not report,    Did not report,"9,934","10,100","2,626","1,856",-,"1,455"
wk1Covered by health insurance ,Covered by health insurance ,,,,,,
wk1    Yes,    Yes,"57,791","55,397","13,849","9,801","2,174",-
wk1    No,    No,"43,208","38,960","13,014","2,423",596,-
wk1    Did not report or don’t know,    Did not report or don’t know,"11,570","11,170","3,547","1,856",-,"1,455"
wk1Last month's mortgage or rent paid on time ,Last month's mortgage or rent paid on time ,,,,,,
wk1    Yes,    Yes,"58,083","53,348","19,176","6,934","2,277",-
wk1    No,    No,"12,467","10,063","5,395","7,781",-,-
wk1    Payment was deferred,    Payment was deferred,"6,146","6,114","1,013",-,-,-
wk1    Housing owned or payment not required,    Housing owned or payment not required,"12,762","11,221","3,777","3,643",-,-
wk1    Did not report,    Did not report,"12,806","12,666","3,547","1,856",-,"1,455"
wk1Confidence in paying next rent or mortgage ,Confidence in paying next rent or mortgage ,,,,,,
wk1    No confidence,    No confidence,"19,960","13,795","8,046","5,049","2,174",-
wk1    Slight confidence,    Slight confidence,"19,660","18,781","8,662","6,818",596,-
wk1    Moderate confidence,    Moderate confidence,"23,546","18,147","15,633","5,945",-,-
wk1    High confidence,    High confidence,"47,968","46,430","12,413",-,-,-
wk1    Payment is/will be deferred,    Payment is/will be deferred,"10,293","10,249","1,013","1,360",-,-
wk1    Did not report,    Did not report,"19,048","16,830","5,918","4,062",-,"1,455"
wk1Free groceries or free meal in last 7 days ,Free groceries or free meal in last 7 days ,,,,,,
wk1    Yes,    Yes,"19,687","15,920","11,606","3,794","2,174",-
wk1    No,    No,"54,145","55,002","16,399","10,142",596,-
wk1    Did not report,    Did not report,"2,288","1,721",-,-,-,"1,455"
wk1Provider of free groceries or free meal ,Provider of free groceries or free meal ,,,,,,
wk1    School or other programs aimed at children,    School or other programs aimed at children,"16,356","10,715","11,606","3,718","2,174",-
wk1    Food pantry or food bank,    Food pantry or food bank,"7,585","7,603",472,-,-,-
wk1    Home-delivered meal service like Meals on Wheels,    Home-delivered meal service like Meals on Wheels,"6,190","6,190",-,-,-,-
"wk1    Church, synagogue, temple, mosque or other religious organization","    Church, synagogue, temple, mosque or other religious organization","6,455","6,455",-,-,-,-
wk1    Shelter or soup kitchen,    Shelter or soup kitchen,-,-,-,-,-,-
wk1    Other community program,    Other community program,"12,214","12,214",-,-,-,-
"wk1    Family, friends, or neighbors","    Family, friends, or neighbors","7,548","7,591",-,"1,487",-,-
wk1    Did not report,    Did not report,"54,260","54,957","16,399","10,142",596,"1,455"
